id,title,tags,categoryID,madeForKids,Like,Dislike,Label
_r_NziSb7yc,ABC Vui từng giờ | Tập 10: Chữ Ê | VTV7,#vtv7kids|#giaoduc|#treem|#thieunhi|#tieuhoc|#mamnon|abc vui tung gio|english for kids|english|bang chu cai|bang chu cai cho be|tieng anh tre em|hoc bang chu cai|danh van tre em|hoc danh van,27,TRUE,371,145,0
ZhWvTeak230,DÒNG SUỐI THẦN - PHIM HOẠT HÌNH - KHOẢNH KHẮC KỲ DIỆU - QUÀ TẶNG CUỘC SỐNG - TRUYỆN CỔ TÍCH,quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|dòng suối thần|suối thần|thần|dòng suối thanh xuân|phim hoạt hình dòng suối thần,1,FALSE,398,60,0
zhtdh5kl358,Nghề Cảnh sát | Hướng nghiệp cho các bé | Lớn lên em muốn làm gì? | VTV7,hướng nghiệp|nghề|nghề nghiệp|bé|trẻ em|trẻ con|mẫu giáo|cấp 1|tiểu học|bác sĩ|công an|cảnh sát|phi công|nông dân|xây dựng|lính|lính cứu hỏa|đầu bếp|họa sĩ|giáo viên|cầu thủ|bóng đá|kỹ năng|đồng phục|dụng cụ|mơ ước|ước mơ|công việc,27,TRUE,414,198,0
V74huN48Hec,"Làm gì khi ngồi cạnh nhau nhưng chẳng nói một lời? Lì xì bạn bè, nhận về muôn ngàn quà tặng nào ;)",Garena|garena liên quân|liên quân mobile|liên quân|arena of valor|AOV|AOV VN|sự kiện liên quân|su kien lien quan|li xi ban nhan qua vo han|lì xì bạn nhận quà vô hạn|tết liên quân|tet lien quan|choi ca ngay li xi ca tet|chơi cả ngày lì xì cả tết|tểt|tet|lì xì liên quân|li xi lien quan|tài khoản full tướng|tai khoan full tuong|mùng 1|mung 1|iphone xs max vàng|tướng vĩnh viễn|tuong vinh vien|bao lì xì|bao li xi,20,FALSE,415,15,2
EnQp1WIjdf0,World Tour - UK Part 1,Maroon5|UK|ColstonHall,10,FALSE,430,190,1
h8z4eNXbtbE,Nghề Bác sĩ | Hướng nghiệp cho các bé | Lớn lên em muốn làm gì? | VTV7,hướng nghiệp|nghề|nghề nghiệp|bé|trẻ em|trẻ con|mẫu giáo|cấp 1|tiểu học|bác sĩ|công an|cảnh sát|phi công|nông dân|xây dựng|lính|lính cứu hỏa|đầu bếp|họa sĩ|giáo viên|cầu thủ|bóng đá|kỹ năng|đồng phục|dụng cụ|mơ ước|ước mơ|công việc,27,TRUE,463,179,0
4JnsXzxiE3k,ABC Vui từng giờ | Tập 5: Chữ Ă | VTV7,#vtv7kids|#giaoduc|#treem|#thieunhi|#tieuhoc|#mamnon|bang chu cai|bang chu cai tieng viet|bang chu cai tre em|hoc chu|hoc chu tre em|danh van|danh van tre em|english|english for kids|kids lesson,27,TRUE,467,209,0
WbQ9Dqqm2No,HỐ VÀNG HỐ BẠC - Truyện cổ tích - Chuyen co tich - Phim hoạt hình - Khoảnh khắc kỳ diệu,truyện cổ tích|cổ tích|truyện cổ tích việt nam|chuyện cổ tích|phim cổ tích|cổ tích việt nam|chuyện cổ tích hay nhất|cổ tích cho bé|nghe chuyện cổ tích|phim hoạt hình|khoảnh khắc kỳ diệu|xem hoạt hình|hoạt hình vui|co tich|chuyen co tich|truyen co tich|truyen co tich viet nam|phim hoat hinh|co tich noi tieng the gioi|co tich viet nam|truyen co tich hay nhat|co tich hay|hoathinh|hố vàng hố bạc|hố vàng|hố bạc|vàng bạc|nhặt được vàng|tham lam,1,FALSE,495,95,0
baboWjVoydY,THẾ GIỚI ĐỘNG VẬT - Truyện cổ tích - Chuyen co tich - Phim hoạt hình - Khoảnh khắc kỳ diệu,truyện cổ tích|cổ tích|truyện cổ tích việt nam|chuyện cổ tích|phim cổ tích|cổ tích việt nam|chuyện cổ tích hay nhất|cổ tích cho bé|nghe chuyện cổ tích|phim hoạt hình|khoảnh khắc kỳ diệu|xem hoạt hình|hoạt hình vui|co tich|chuyen co tich|truyen co tich|truyen co tich viet nam|phim hoat hinh|co tich noi tieng the gioi|co tich viet nam|truyen co tich hay nhat|co tich hay|hoathinh|thế giới động vật|thế giới|động vật,1,FALSE,509,130,0
XR_I12E9tnA,Nghề Giáo viên | Hướng nghiệp cho các bé | Lớn lên em muốn làm gì? | VTV7,hướng nghiệp|nghề|nghề nghiệp|bé|trẻ em|trẻ con|mẫu giáo|cấp 1|tiểu học|bác sĩ|công an|cảnh sát|phi công|nông dân|xây dựng|lính|lính cứu hỏa|đầu bếp|họa sĩ|giáo viên|cầu thủ|bóng đá|kỹ năng|đồng phục|dụng cụ|mơ ước|ước mơ|công việc,27,TRUE,539,216,0
i3AmdBS62sE,Sinh nhật Liên Quân 8/12 có quà gì HOT? - Garena Liên Quân Mobile,Garena|garena liên quân|liên quân mobile|liên quân|lien minh mobile|liên minh huyền thoại mobile|arena of valor|AOV|AOV VN|8/12 liên quân|8/12 lien quan|sinh nhật liên quân|sinh nhat lien quan|sự kiện liên quân|su kien lien quan|free skin lien quan|trương hoàng mai anh|truong hoang mai anh,20,FALSE,543,12,2
F9VlyQ-hHus,Holy Shiett- 95G  (LilWuyn x SMO) ft  FSR (Young H),Lil Wuyn|Young H|Holy Shiett|LYRICS|RAP|VIET|SMO|Holy Shiett- 95G (LilWuyn x SMO) ft FSR (Young H),10,FALSE,545,11,2
lrLjpb1iLWM,"Phát rồ vì tình, cụ ông 71 tuổi làm chuyện 'tày đình' tại nhà người yêu trẻ",án mạng|cuồng ghen|sát hại người tình|người yêu|vi phạm pháp luật|tệ nạn xã hội|án mạng bí ẩn|án mạng liên hoàn|antv|antv thcand|kenh an ninh|truyen hinh cong an|an ninh tv|truyền hình công an nhân dân|truyền hình công an|truyen hinh cong an nhan dan|tin tức|tin mới nhất|tin nhanh|tin 24h|tin tuc|cảnh sát nhân dân|canh sat nhan dan|csnd|kênh cảnh sát nhân dân|kenh canh sat nhan dan,22,FALSE,545,162,2
YWCe9Xs3jcU,KHÔNG XỨNG LÀM QUAN - Truyện cổ tích - Chuyen co tich - Phim hoạt hình - Khoảnh khắc kỳ diệu,truyện cổ tích|cổ tích|truyện cổ tích việt nam|chuyện cổ tích|phim cổ tích|cổ tích việt nam|chuyện cổ tích hay nhất|cổ tích cho bé|nghe chuyện cổ tích|phim hoạt hình|khoảnh khắc kỳ diệu|xem hoạt hình|hoạt hình vui|co tich|chuyen co tich|truyen co tich|truyen co tich viet nam|phim hoat hinh|co tich noi tieng the gioi|co tich viet nam|truyen co tich hay nhat|co tich hay|hoathinh|không xứng làm quan|quan trạng|quan tham|tham lam ích kỷ|quan,1,FALSE,554,93,0
aoagTjOMo4w,Quà tặng cuộc sống - CHÓ BẮT RẮN ĐỘC - Truyện cổ tích - Phim hoạt hình - Chuyện cổ tích,quà tặng cuộc sống|truyện cổ tích|cổ tích|cổ tích việt nam|cổ tích cho bé|phim hoạt hình|khoảnh khắc kỳ diệu|xem phim hoạt hình|truyen co tich|phim hoat hinh|phim hoạt hình hay nhất|chuyện cổ tích|chuyen co tich|nghệ thuật sống|chó bắt rắn độc|chó bắt rắn|chó|rắn độc|con rắn độc|phim hoạt hình chó bắt rắn độc,1,FALSE,664,136,0
D6MZWfmbqs0,BÀI HÁT 5 NGÓN TAY XINH | Dạy bé tự bảo vệ mình khỏi xâm hại tình dục | VTV7,#vtv7kids|#giaoduc|#treem|#thieunhi|#tieuhoc|#mamnon|xam hai tinh duc|xam hai tinh duc tre em|lam dung tre em|giao duc gioi tinh|bao ve tre em,27,TRUE,691,348,0
3eYN1ac0kcE,Maroon 5 Summer US Tour Announcement,Maroon 5|Summer Tour|Train,10,FALSE,694,19,1
e6lyLZBFbhk,ĐUA XE XONG NẰM VIỆN - PHIM HOẠT HÌNH - KHOẢNH KHẮC KỲ DIỆU - QUÀ TẶNG CUỘC SỐNG - TRUYỆN CỔ TÍCH,quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|đua xe xong nằm viện|đua xe|nằm viện|đua|xe|nằm|viện|phim hoạt hình đua xe xong nằm viện,1,TRUE,694,128,0
z4NXME8hh_w,MẸ VỢ KHÓ TÍNH - PHIM HOẠT HÌNH - KHOẢNH KHẮC KỲ DIỆU - QUÀ TẶNG CUỘC SỐNG - TRUYỆN CỔ TÍCH,quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|mẹ vợ khó tính|mẹ vợ|khó tính|mẹ|vợ|khó|tính|con rể mẹ vợ|phim hoạt hình mẹ vợ khó tính,1,FALSE,702,101,0
k6-OeqUPDS4,MÓN QUÀ XẤU XÍ - PHIM HOẠT HÌNH - KHOẢNH KHẮC KỲ DIỆU - QUÀ TẶNG CUỘC SỐNG - TRUYỆN CỔ TÍCH,quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|món quà xấu xí|món quà|xấu xí|xấu|quà|xí|món|phim hoạt hình món quà xấu xí,1,TRUE,729,92,0
zl-s-Ez5ulU,ĐÁNH CỜ VỚI VẸT - PHIM HOẠT HÌNH - KHOẢNH KHẮC KỲ DIỆU - QUÀ TẶNG CUỘC SỐNG - TRUYỆN CỔ TÍCH,quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|đánh cờ với vẹt|đánh cờ|vẹt|phim hoạt hình đánh cờ với vẹt,1,FALSE,740,76,0
FW2bdInXURY,NGƯỜI PHẢN BỘI - PHIM HOẠT HÌNH - KHOẢNH KHẮC KỲ DIỆU - QUÀ TẶNG CUỘC SỐNG - TRUYỆN CỔ TÍCH,quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|người phản bội|người|phản|bội|phản bội|tổng hợp phim hoạt hình|phim hoạt hình người phản bội,1,TRUE,743,106,0
uyD3eNnGgNo,Maroon 5 2015 Tour Teaser,Maroon 5 (Musical Group)|Tour|Magic|Rozzi Crane|Overexposed (Musical Album)|Adam Levine (Celebrity)|Music (TV Genre),10,FALSE,785,16,1
