tags,categoryID,madeForKids,Label,rate
vtv7kids|giaoduc|treem|thieunhi|tieuhoc|mamnon|abc vui tung gio|english for kids|english|bang chu cai|bang chu cai cho be|tieng anh tre em|hoc bang chu cai|danh van tre em|hoc danh van,27,1,0,0.7189922480620154
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|dòng suối thần|suối thần|thần|dòng suối thanh xuân|phim hoạt hình dòng suối thần,1,0,0,0.868995633187773
hướng nghiệp|nghề|nghề nghiệp|bé|trẻ em|trẻ con|mẫu giáo|cấp 1|tiểu học|bác sĩ|công an|cảnh sát|phi công|nông dân|xây dựng|lính|lính cứu hỏa|đầu bếp|họa sĩ|giáo viên|cầu thủ|bóng đá|kỹ năng|đồng phục|dụng cụ|mơ ước|ước mơ|công việc,27,1,0,0.6764705882352942
Garena|garena liên quân|liên quân mobile|liên quân|arena of valor|AOV|AOV VN|sự kiện liên quân|su kien lien quan|li xi ban nhan qua vo han|lì xì bạn nhận quà vô hạn|tết liên quân|tet lien quan|choi ca ngay li xi ca tet|chơi cả ngày lì xì cả tết|tểt|tet|lì xì liên quân|li xi lien quan|tài khoản full tướng|tai khoan full tuong|mùng 1|mung 1|iphone xs max vàng|tướng vĩnh viễn|tuong vinh vien|bao lì xì|bao li xi,20,0,2,0.9651162790697675
Maroon5|UK|ColstonHall,10,0,1,0.6935483870967742
hướng nghiệp|nghề|nghề nghiệp|bé|trẻ em|trẻ con|mẫu giáo|cấp 1|tiểu học|bác sĩ|công an|cảnh sát|phi công|nông dân|xây dựng|lính|lính cứu hỏa|đầu bếp|họa sĩ|giáo viên|cầu thủ|bóng đá|kỹ năng|đồng phục|dụng cụ|mơ ước|ước mơ|công việc,27,1,0,0.721183800623053
vtv7kids|giaoduc|treem|thieunhi|tieuhoc|mamnon|bang chu cai|bang chu cai tieng viet|bang chu cai tre em|hoc chu|hoc chu tre em|danh van|danh van tre em|english|english for kids|kids lesson,27,1,0,0.6908284023668639
truyện cổ tích|cổ tích|truyện cổ tích việt nam|chuyện cổ tích|phim cổ tích|cổ tích việt nam|chuyện cổ tích hay nhất|cổ tích cho bé|nghe chuyện cổ tích|phim hoạt hình|khoảnh khắc kỳ diệu|xem hoạt hình|hoạt hình vui|co tich|chuyen co tich|truyen co tich|truyen co tich viet nam|phim hoat hinh|co tich noi tieng the gioi|co tich viet nam|truyen co tich hay nhat|co tich hay|hoathinh|hố vàng hố bạc|hố vàng|hố bạc|vàng bạc|nhặt được vàng|tham lam,1,0,0,0.8389830508474576
truyện cổ tích|cổ tích|truyện cổ tích việt nam|chuyện cổ tích|phim cổ tích|cổ tích việt nam|chuyện cổ tích hay nhất|cổ tích cho bé|nghe chuyện cổ tích|phim hoạt hình|khoảnh khắc kỳ diệu|xem hoạt hình|hoạt hình vui|co tich|chuyen co tich|truyen co tich|truyen co tich viet nam|phim hoat hinh|co tich noi tieng the gioi|co tich viet nam|truyen co tich hay nhat|co tich hay|hoathinh|thế giới động vật|thế giới|động vật,1,0,0,0.7965571205007824
hướng nghiệp|nghề|nghề nghiệp|bé|trẻ em|trẻ con|mẫu giáo|cấp 1|tiểu học|bác sĩ|công an|cảnh sát|phi công|nông dân|xây dựng|lính|lính cứu hỏa|đầu bếp|họa sĩ|giáo viên|cầu thủ|bóng đá|kỹ năng|đồng phục|dụng cụ|mơ ước|ước mơ|công việc,27,1,0,0.713907284768212
Garena|garena liên quân|liên quân mobile|liên quân|lien minh mobile|liên minh huyền thoại mobile|arena of valor|AOV|AOV VN|8/12 liên quân|8/12 lien quan|sinh nhật liên quân|sinh nhat lien quan|sự kiện liên quân|su kien lien quan|free skin lien quan|trương hoàng mai anh|truong hoang mai anh,20,0,2,0.9783783783783784
Lil Wuyn|Young H|Holy Shiett|LYRICS|RAP|VIET|SMO|Holy Shiett- 95G (LilWuyn x SMO) ft FSR (Young H),10,0,2,0.9802158273381295
án mạng|cuồng ghen|sát hại người tình|người yêu|vi phạm pháp luật|tệ nạn xã hội|án mạng bí ẩn|án mạng liên hoàn|antv|antv thcand|kenh an ninh|truyen hinh cong an|an ninh tv|truyền hình công an nhân dân|truyền hình công an|truyen hinh cong an nhan dan|tin tức|tin mới nhất|tin nhanh|tin 24h|tin tuc|cảnh sát nhân dân|canh sat nhan dan|csnd|kênh cảnh sát nhân dân|kenh canh sat nhan dan,22,0,2,0.7708628005657708
truyện cổ tích|cổ tích|truyện cổ tích việt nam|chuyện cổ tích|phim cổ tích|cổ tích việt nam|chuyện cổ tích hay nhất|cổ tích cho bé|nghe chuyện cổ tích|phim hoạt hình|khoảnh khắc kỳ diệu|xem hoạt hình|hoạt hình vui|co tich|chuyen co tich|truyen co tich|truyen co tich viet nam|phim hoat hinh|co tich noi tieng the gioi|co tich viet nam|truyen co tich hay nhat|co tich hay|hoathinh|không xứng làm quan|quan trạng|quan tham|tham lam ích kỷ|quan,1,0,0,0.8562596599690881
quà tặng cuộc sống|truyện cổ tích|cổ tích|cổ tích việt nam|cổ tích cho bé|phim hoạt hình|khoảnh khắc kỳ diệu|xem phim hoạt hình|truyen co tich|phim hoat hinh|phim hoạt hình hay nhất|chuyện cổ tích|chuyen co tich|nghệ thuật sống|chó bắt rắn độc|chó bắt rắn|chó|rắn độc|con rắn độc|phim hoạt hình chó bắt rắn độc,1,0,0,0.83
vtv7kids|giaoduc|treem|thieunhi|tieuhoc|mamnon|xam hai tinh duc|xam hai tinh duc tre em|lam dung tre em|giao duc gioi tinh|bao ve tre em,27,1,0,0.6650625601539942
Maroon 5|Summer Tour|Train,10,0,1,0.9733520336605891
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|đua xe xong nằm viện|đua xe|nằm viện|đua|xe|nằm|viện|phim hoạt hình đua xe xong nằm viện,1,1,0,0.8442822384428224
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|mẹ vợ khó tính|mẹ vợ|khó tính|mẹ|vợ|khó|tính|con rể mẹ vợ|phim hoạt hình mẹ vợ khó tính,1,0,0,0.8742216687422167
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|món quà xấu xí|món quà|xấu xí|xấu|quà|xí|món|phim hoạt hình món quà xấu xí,1,1,0,0.8879415347137637
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|đánh cờ với vẹt|đánh cờ|vẹt|phim hoạt hình đánh cờ với vẹt,1,0,0,0.9068627450980392
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|người phản bội|người|phản|bội|phản bội|tổng hợp phim hoạt hình|phim hoạt hình người phản bội,1,1,0,0.8751472320376914
Maroon 5 (Musical Group)|Tour|Magic|Rozzi Crane|Overexposed (Musical Album)|Adam Levine (Celebrity)|Music (TV Genre),10,0,1,0.9800249687890137
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|thương cha như hạt muối|thương cha|hạt muối|phim hoạt hình thương cha như hạt muối,1,0,0,0.8824809575625681
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|thử lòng thông gia|thử lòng|thông gia|thử|lòng|thông|gia|phim hoạt hình thử lòng thông gia,1,0,0,0.8932893289328933
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|chị dâu em chồng|chị dâu|em chồng|chị dâu khó tính|phim hoạt hình chị dâu em chồng,1,1,0,0.8360655737704918
vtv7kids|giaoduc|treem|thieunhi|tieuhoc|mamnon|Tieng anh tre em|Hoc danh van|Hoc tieng anh tre em|Hoc chu cai tre em|Hoc chu cai tieng viet|Cach day bang chu cai|English for kids|Kids lesson,27,1,0,0.720949957591179
Garena|garena liên quân|liên quân mobile|liên quân|lien minh mobile|liên minh huyền thoại mobile|arena of valor|AOV|AOV VN|812 liên quân|8/12 liên quân|quà sinh nhật liên quân|quà liên quân|sinh nhật liên quân|sinh nhat lien quan|sinh nhật 3 tuổi liên quân|quà free liên quân|skin free liên quân|tướng free liên quân|trương hoàng mai anh|truong hoang mai anh,20,0,2,0.9649321266968326
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|ăn thịt cò mẹ|ăn thịt|cò mẹ|thịt cò|mẹ|phim hoạt hình ăn thịt cò mẹ,1,1,0,0.8678861788617886
tre em|tre con|giao tiếp|ứng xử|cư xử|mầm non|tiểu học|vtv7|cừu xanh|cừu hồng|thói quen|kỹ năng|cảm xúc|thấu hiểu|giúp đỡ|biểu cảm|câu chuyện|kids|MC trần ngọc|trần ngọc|trần hồng ngọc|hồng ngọc|thông minh|ứng xử thông minh|dạy con,27,1,0,0.6646106399383191
Chuyện trò|PCGL|VoVanDuc|TayNguyenSound|chuyen tro pcgl|chuyen tro pcgl ft vovanduc|pcgl ft vovanduc|chuyentro|pcgl chuyen tro|rap|love|sad love|TayNguyenSauLang|VietRapEntertainment|Viet Rap Entertainment,10,0,2,0.9908466819221968
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|ngày nói dối|ngày|nói|dối|nói dối|phim hoạt hình ngày nói dối,1,1,0,0.8765060240963856
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|cô gái béo|cô gái|béo|cô|gái|gái béo|cô béo|giảm cân|phim hoạt hình cô gái béo,1,1,0,0.8748778103616813
vtv7kids|giaoduc|treem|thieunhi|tieuhoc|mamnon|hoc chu|bang chu cai|hoc cung con|hoc cung be|english|english for kids|kids lesson|abc vui tung gio|vtv7 kids|chuong trinh tre em|hoc chu tre em,27,1,0,0.7522123893805309
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|ép gái uống bia|ép gái|uống bia|ép|gái|uống|bia|phim hoạt hình ép gái uống bia,1,1,0,0.8228070175438597
truyện cổ tích hay nhất|truyện cổ tích việt nam|truyện cổ tích|cổ tích|truyen co tich|chuyện cổ tích|chuyen co tich|kể chuyện cổ tích|truyện cổ tích cho bé|phim hoạt hình|hoạt hình|hoạt hình hay|khoảnh khắc kỳ diệu|quà tặng cuộc sống|phim hay|phim hay 2020|phim hoạt hình hay nhất|hoạt hình 2020|thế giới quanh em|sự tích ngày và đêm|sự tích|ngày và đêm|ngày|đêm|phim hoạt hình sự tích ngày và đêm,1,0,0,0.9046270066100094
thời trang nam|thời trang|thời trang nam 2020|thời trang nam hàn quốc|phối đồ nam|phối đồ|áo khoác nam|áo khoác|áo khoác local brand|áo khoác nữ|đồng hồ nam|đồng hồ|đồng hồ nam đẹp|nước hoa|nước hoa hồng|nước hoa nam|sơ mi nam|sơ mi|sơ mi nam đẹp|quần jeans nam|quần jean|quần jean nam|áo gym|áo gym nam|áo tập gym|áo oversize|áo oversize nam|áo thun|giày tây|giày tây nam,26,0,0,0.9663032705649157
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|đổi đời|đổi|đời|phim hoạt hình đổi đời,1,0,0,0.9314938154138915
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|ngoại tình|ngoại|tình|người phản bội|phim hoạt hình ngoại tình,1,1,0,0.8791405550581916
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|con nhà giàu|con|nhà|giàu|nhà giàu|con nhà người ta|phim hoạt hình con nhà giàu,1,0,0,0.9298245614035088
quà tặng cuộc sống|quà tặng cuộc sống mới nhất|quà tặng cuộc sống tổng hợp|phim quà tặng cuộc sống|qtcs|qtcs 2020|hoat hinh|phim hoạt hình|hoạt hình hay|sự tích|truyện cổ tích|chuyện cổ tích|kkkd|phim ngắn|tổng hợp phim|bài học cuộc sống|câu chuyện ý nghĩa|giây phút diệu kỳ|câu chuyện cuộc sống|khoảnh khắc kỳ diệu|vay tiền xây nhà|vay tiền|xây nhà|vay|tiền|xây|nhà|phim hoạt hình vay tiền xây nhà,1,0,0,0.8896672504378283
vtv7kids|giaoduc|treem|thieunhi|tieuhoc|mamnon|Kids lesson|English for kids|Cach day bang chu cai|Hoc chu cai tieng viet|Hoc chu cai tre em|Hoc tieng anh tre em|Tieng anh tre em|Hoc danh van,27,1,0,0.620918984280532
